ins_code,isin,cisin,l18,l30
29247915161590165,IRO1DLGM0001,IRO1DLGM0000,دلقما,دارویی‌ لقمان‌
66142616039907394,IRO3BDMZ0001,IRO3BDMZ0007,دماوند,تولید نیروی برق دماوند
15374483986949695,IRO7PDHP0001,IRO7PDHP0006,دهدشت,صنایع پتروشیمی دهدشت
58108537439201620,IRT3DOXF0001,IRT3DOXF0002,دوایکس,ص.س.اهرمی شاخصی کیان-س
70474983732269112,IRO1PDRO0001,IRO1PDRO0001,دپارس,پارس‌ دارو
22026498789176614,IRR1PDRO0101,IRR1PDRO0103,دپارسح,ح . پارس‌ دارو
23353689102956991,IRO1DKSR0001,IRO1DKSR0002,دکوثر,داروسازی‌ کوثر
52382684379473036,IRO3IGCZ0001,IRO3IGCZ0009,دکپسول,تولید ژلاتین کپسول ایران
15224214406952218,IRR3IGCZ0101,IRR3IGCZ0101,دکپسولح,ح .تولید ژلاتین کپسول ایران
20024911381434086,IRO1KIMI0001,IRO1KIMI0004,دکیمی,کیمیدارو
66416853783916493,IRO7BDYZ0001,IRO7BDYZ0009,دی,بانک دی
49782064767608295,IRT1DAYS0001,IRT1DAYS0004,دی سهام,صندوق س.دی سهام-سهام
6279426571085158,IRT1DIAR0001,IRT1DIAR0005,دیار,صندوق س.مشترک دیار-سهام
70698996132397388,IRT1DIBA0001,IRT1DIBA0003,دیبا,صندوق س اوراق دولتی صبا-ثابت
69090868458637360,IRO1IRDR0001,IRO1IRDR0007,دیران,ایران‌دارو
25752723009842207,IRR1IRDR0101,IRR1IRDR0109,دیرانح,ح . ‌ایران‌دارو
26547362091465395,IRT3PC040001,IRT3PC040004,دیوان,صندوق خصوصی دیوان ارزش35%تادیه
71483646978964608,IRO1ZOBI0001,IRO1ZOBI0002,ذوب,ذوب آهن اصفهان
33527290777160784,IRT3OFRF0001,IRT3OFRF0008,رابین,صندوق س. توسعه افق رابین-د
68941822863885255,IRO3RYHZ0001,IRO3RYHZ0001,رافزا,رایان هم افزا
40210715138931726,IRR3RYHZ0101,IRR3RYHZ0103,رافزاح,ح. رایان هم افزا
40505767672724777,IRO1INFO0001,IRO1INFO0002,رانفور,خدمات‌انفورماتیک‌
